_Antwort-ID,Resume-Code,Start,Datum und Zeit,Teilnahmestatus,,"1. 1. Wie schätzen Sie den Geschäftsverlauf Ihres Unternehmens für die kommenden 6 Monate ein?,Entwicklung Geschäftsverlauf",2. 2. Erwarten Sie für 2013 gegenüber dem Vorjahr einen höheren Umsatz?,3. 3. Wie entwickelt sich der Mitarbeiterbestand Ihrer Unternehmung in den kommenden 6 Monaten?,4. 4. Bezüglich des wirtschaftlichen Umfelds: Welches sind die für Ihr Unternehmen grössten Herausforderungen für die kommenden 6 Monate?,5. 5. Plant Ihr Unternehmen in den nächsten 24 Monaten grössere Investitionen?,6. Allgemeine Bemerkungen können Sie hier angeben:,,8. Branche:,9. Anzahl Mitarbeitende:,10. Umsatz (fakultativ),11. Standortstadt /-gmeinde
4657085,4d5272f,22.01.13 16:16,22.01.13 16:20,teilgenommen und beendet,,5,ja,Keine Veränderung,Währungsentwicklung Euro / US$; wirtschaftliche Demographie (Zu-/Abwanderung von Produktionsunternehmen); fiskalpolitische Auflagen,ja,,,Handel mit Rohstoffen und Spezialiäten,10,,Oberohringen
4657125,a097846,22.01.13 16:19,22.01.13 16:20,teilgenommen und beendet,,5,nein,Keine Veränderung,- nachhaltige Kundenbindung und Neukundenakquisition,nein,,,Messe- und Eventveranstalter,8,"5,2 Mio",Winterthur
4657282,49d28ad,22.01.13 16:30,22.01.13 16:33,teilgenommen und beendet,,4,nein,Keine Veränderung,Eindringen von nicht Fachbetrieben in unsere Tätigkeiten und Sozialinstitution mit Fördergeldern,nein,,,Gartenbau,6,,Winterthur
4657293,30adabb,22.01.13 16:31,22.01.13 17:14,teilgenommen und beendet,,4,nein,Zunahme,"Der Preiskampf wird immer härter, wir beklagen sinkende Margen. Der Druck ausländischer Bewerber wird immer stärker.",ja,,,Büroeinrichtungen,11,,Winterthur/Zürich
4657330,0c76801,22.01.13 16:33,22.01.13 16:36,"teilgenommen, aber noch nicht beendet",,5,nein,Keine Veränderung,Rasch auf Veränderungen reagieren können.; Leistungen ausbauen.,ja,"Bei Bauprojekten rasche Entscheide von der Verwaltung erhalten. Baugesuche im Anzeigeverfahren dauern länger als die ""versprochenen 30 Tage"".",,,,,
4657377,5eb5079,22.01.13 16:37,22.01.13 16:39,teilgenommen und beendet,,3,nein,Reduktion,Qaulität; Konkurrenz aus dem AUsland,ja,Neubau Büro,,Bau,10,2 Mio,Winterthur
4657386,aec7f0e,22.01.13 16:37,22.01.13 16:41,teilgenommen und beendet,,6,ja,Keine Veränderung,Gutes qualifiziertes Personal zu finden.,nein,,,Haustechnik,40,,Winterthur
4657474,f370c06,22.01.13 16:44,22.01.13 16:45,teilgenommen und beendet,,3,nein,Keine Veränderung,"Preisdruck, Arbeitsvolumen",ja,,,,,,
4657497,9569c6d,22.01.13 16:46,22.01.13 16:50,teilgenommen und beendet,,5,nein,Keine Veränderung,"Wir sind in der Immobilienbranche tätig bzw. Eigentümerin der Liegenschaft St.Gallerstr. 106/108 in Winterthur und haben ausser der Verwaltungstätigkeit keine andere Tätigkeit. ; ; Unser Ziel ist es, die bestehenden Mietverträge weiterführen zu können.",ja,,,Immobilien,5,,Winterthur (Sitz in Zürich)
4657555,3dbc0c2,22.01.13 16:50,22.01.13 16:51,teilgenommen und beendet,,4,ja,Keine Veränderung,,nein,,,Architektur,27,-4000000,Winterthur
4657579,adb0fce,22.01.13 16:52,22.01.13 16:55,teilgenommen und beendet,,4,ja,Keine Veränderung,"Solidarhaftung,; Ausländische Konkurenz",ja,,,Bau,250,70 Mil.,Seuzach
4657693,08b2b5c,22.01.13 16:59,22.01.13 17:05,teilgenommen und beendet,,4,nein,Keine Veränderung,"Energiepreise; Verkehrsbehinderungen; Parkplatzsituation; Formularbewirtschaftung, Bewilligungen, (Papierkrieg )",nein,,,hasutechnik,10,-,Winterthur
4657706,da11af2,22.01.13 17:00,22.01.13 17:02,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Malergeschäft,'2.5,500000,Winterthur
4657729,14dd944,22.01.13 17:02,22.01.13 17:04,teilgenommen und beendet,,5,ja,Keine Veränderung,Ich finde keine qualifizierte Mitarbeiter,nein,,,Haustechnikplanung,1,,ELGG
4657736,1ebb2c4,22.01.13 17:02,22.01.13 17:04,teilgenommen und beendet,,,nein,Keine Veränderung,Privat Verkauf fördern,ja,Neubau kosten ca. 3.5MIO,,Insektenschutzgitter Lichtschachtabdeckungen,14,,Ellikon an der Thur
4657790,660e09f,22.01.13 17:06,22.01.13 17:09,teilgenommen und beendet,,5,ja,Zunahme,- Unsichere Wirtschaftslage,nein,,,Handel,60 (FTE's),22 mio,Seuzach (Ohringen)
4657835,df297cb,22.01.13 17:10,22.01.13 17:12,teilgenommen und beendet,,4,nein,Keine Veränderung,,nein,,,Hotel / Gastronomie,8,,8353 Elgg
4657863,a244a71,22.01.13 17:13,22.01.13 17:21,teilgenommen und beendet,,4,nein,Reduktion,"Dass die verheerende Preispolitik endlich ein Ende hat. Dass wieder vermehrt auf Qualität und das Ausbilden von Lehrlingen geachtet wird.; Ansonsten sieht unsere Zukunft nicht sehr rosig aus. Wir sind ein Familienbetrieb, der seit über 100 Jahren in Veltheim tätig ist, wenn es aber so weiter gehen sollte, sehen wir nur noch SCHWARZ.",nein,Keine,,Malergeschäft,24,,Veltheim
4657889,e0666f7,22.01.13 17:14,22.01.13 17:16,teilgenommen und beendet,,4,ja,Keine Veränderung,Räume vermieten,nein,,,Dienstleistungen,15,,Winterthur
4657895,507f46a,22.01.13 17:15,22.01.13 17:16,"teilgenommen, aber noch nicht beendet",,4,ja,Zunahme,,,,,,,,
4657910,5ea580c,22.01.13 17:16,22.01.13 17:18,teilgenommen und beendet,,5,ja,Zunahme,"- Währung; - Ausländische Anbieter, die in den Schweizer Markt drängen",ja,,,Dienstleistung / Service,160,60 Mio,Winterthur
4658019,261a343,22.01.13 17:25,22.01.13 17:28,teilgenommen und beendet,,3,nein,Reduktion,Die Frequenzen anzukurbeln,nein,,,,5,,Winterthur
4658221,26ed9ff,22.01.13 17:38,22.01.13 17:42,teilgenommen und beendet,,5,nein,Keine Veränderung,- zuverlässige Mitarbeiter halten oder anstellen,ja,,,Gartenbau,40,5'000'000.- Fr.,Zell
4658296,d5e493c,22.01.13 17:44,22.01.13 17:51,teilgenommen und beendet,,4,ja,Keine Veränderung,Liquiditäserhaltung,nein,,,Recycling / Entsorgung / Auto,12,,8545 Rickenbach Sulz
4658302,de5449c,22.01.13 17:44,22.01.13 17:48,teilgenommen und beendet,,6,nein,Keine Veränderung,Kapazität für erledigung der Aufträge,ja,,,Bauingenieure,"8 MA, 1 Prakt., 2 Azubi",,Winterhtur
4658355,4ab5286,22.01.13 17:48,22.01.13 17:50,teilgenommen und beendet,,4,ja,Keine Veränderung,Konkurrenz; Preisdruck,nein,,,Versicherungsbroker,9,,Winterthur
4658515,6fc664c,22.01.13 18:02,22.01.13 18:02,"teilgenommen, aber noch nicht beendet",,3,nein,Reduktion,,nein,,,,,,
4658531,5ed5337,22.01.13 18:03,22.01.13 18:05,teilgenommen und beendet,,5,ja,Keine Veränderung,Dass Veranstalter ihre Events bei uns durchführen.,ja,,,Dienstleistungen,3,,
4658548,5bea5f4,22.01.13 18:04,22.01.13 18:06,teilgenommen und beendet,,5,ja,Keine Veränderung,Konkurrenzdruck auf Preisen und Margen.,nein,"Wir haben einige grössere Neukunden gewinnen können, deshalb erwarten wir trotz stagnierendem Markt höhere Umsätze.",,Transport/Umzug/Relocation,28,ca. CHF 9 Mio.,Effretikon
4658592,a072b88,22.01.13 18:07,22.01.13 18:10,teilgenommen und beendet,,3,nein,Keine Veränderung,Werde Ende Feb. pensioniert.,nein,,,Gärtnerei,2,,Elgg
4658694,c773ec1,22.01.13 18:14,22.01.13 18:17,teilgenommen und beendet,,3,ja,Keine Veränderung,- Preisdruck unserer Key-Accounts; - Folgen eines Kundentreueprogramms in einem unserer wichtigsten Märkte; - Währungen; - Konsumverhalten unserer Kunden,ja,,,Metallverarbeitung und Handel mit Kochgeschirr und Küchengeräten,170,,Rikon
4658731,d3c7230,22.01.13 18:16,22.01.13 18:21,teilgenommen und beendet,,4,nein,Keine Veränderung,"- Auswirkungen der Weltwirtschaft auf die lokaleen Kunden (kommerzielle und private), z.B. Entwicklung Privatkonsum, Immobilienmarkt; - Auswirkungen der rasch zunehmenden Regulierung auf unsere Arbeitsprozesse; - Tiefzinsniveau; - u.a.",nein,,,,,,
4658734,38b436d,22.01.13 18:17,22.01.13 18:18,teilgenommen und beendet,,4,nein,Keine Veränderung,- Ausbau Exportgeschäft; - Neukundengewinnung im Gastroumfeld,ja,,,,140,56 Mio. CHF,Winterthur
4658763,57cebcf,22.01.13 18:19,22.01.13 18:26,teilgenommen und beendet,,7,nein,Keine Veränderung,genügend kostendeckende aufträge zu generieren,nein,,,innenausbau,3,,elgg
4658846,4ab2baa,22.01.13 18:25,22.01.13 18:25,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Bau,2,,Elgg
4659006,a46e53e,22.01.13 18:34,22.01.13 18:36,teilgenommen und beendet,,6,ja,Keine Veränderung,,nein,,,Heizung Sanitär,1,,8545
4659292,f671bec,22.01.13 18:53,22.01.13 18:54,teilgenommen und beendet,,3,nein,Keine Veränderung,,nein,,,,,,
4659412,6bc8c6a,22.01.13 19:01,22.01.13 19:03,teilgenommen und beendet,,5,ja,Zunahme,,ja,Ausbauinvestitionen eines neuen Betriebsstandortes in Winterthur,,Druckereitechnologie,120,,Winterthur
4660696,f45224c,22.01.13 20:32,22.01.13 20:32,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,,,,,,,,
4660893,5ef3c8d,22.01.13 20:51,22.01.13 20:57,teilgenommen und beendet,,6,ja,Keine Veränderung,Auch kurzfristige Anfragen innerhalb der gewünschten Termine erledigen zu können.,nein,Grosse Nachfrage nach qualitativ hochwertigen Dienstleistungen.,,Architektur- und Planungsbüro,5,,Zell ZH
4660914,c7ed971,22.01.13 20:52,22.01.13 20:57,teilgenommen und beendet,,3,nein,Keine Veränderung,Der Eurokurs zwingt unser Unternehmen zu ständigen Rationalisierungen und Ablaufverbesserungen. Die Unsicherheit in der Auftragslage zwingt uns zu vorsichtigem Handeln und Investitionen mit schnellen pay back. Alle anderen Investitionen werden nicht engagiert.,nein,,,Blechbearbeitung,50,'9.3,Fischenthal
4661752,f3d1cf1,22.01.13 22:25,22.01.13 22:27,teilgenommen und beendet,,2,nein,Keine Veränderung,,nein,,,Detailhandel,3,,
4661778,f86ad65,22.01.13 22:28,22.01.13 22:31,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,Wirtschaftliche Flaute im Euroraum und ensprechende Auswirkungen auf den Werkplatz Schweiz.,nein,,,Maschinenbau,,,
4661889,2fc2817,22.01.13 22:45,22.01.13 22:53,teilgenommen und beendet,,,ja,Zunahme,"Rentabilität verbessern durch Prozessoptimierungen und Kostenreduktion, Rekrutierung von Fachkräften, Innovationen erfolgreich im Markt umsetzen.",nein,Bitte keine zusätzlichen Behinderungen oder Vorschriften. Die Politik muss die Rahmenbedingungen verbessern und die Wirtschaft wird das mit höheren Steuerabgaben belohnen! Der Wirtschaftststandort Schweiz ist definitiv unter Druck.,,,,,
4662960,b060588,23.01.13 05:50,23.01.13 05:51,"teilgenommen, aber noch nicht beendet",,3,ja,Reduktion,,nein,,,,,,
4663003,b24255b,23.01.13 06:32,23.01.13 06:36,teilgenommen und beendet,,4,nein,Reduktion,Immer mehr Billigprodukte aus Ausland,nein,"Immer schlechtere Infrastruktur - Parkplätze usw.; Politik redet dauernd über Erhalt von Arbeitsplätzen, tut aber nichts (oder kauft im Ausland - s. Fensterersatz am Bundeshaus)",,Fensterbau,10,,Winterthur
4663020,c78a888,23.01.13 06:46,23.01.13 06:50,teilgenommen und beendet,,4,nein,Keine Veränderung,Preisdruck; Rekrutierung qualifizierter Mitarbeiter,ja,,,Gartenbau,40,7.5 Mio,Winterthur
4663027,2d04b23,23.01.13 06:51,23.01.13 07:51,teilgenommen und beendet,,5,ja,Keine Veränderung,Preisdruck,nein,,,Gartengestaltung,5,,Seuzach
4663028,d48f92b,23.01.13 06:52,23.01.13 06:54,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Bau,18,,Winterthur
4663065,7c0a8fa,23.01.13 07:16,23.01.13 07:18,teilgenommen und beendet,,6,nein,Keine Veränderung,,ja,,,Bau: Bedachungen,33,ca. 9`500`000.-,8405 Winterthur
4663071,1c86b48,23.01.13 07:19,23.01.13 07:22,teilgenommen und beendet,,5,ja,Zunahme,- Bewältigung des Tagesgeschäfts (hohe Auslastung); - Steigerung Liefertreue,nein,,,Maschinenbau/Industrie,500 (CH),,Winterthur
4663074,35a9c8a,23.01.13 07:19,23.01.13 07:22,teilgenommen und beendet,,3,nein,Keine Veränderung,Parkplatzsituation; Verkehr; Gesetzgebung,nein,,,,,,Winterthur
4663145,7c364fc,23.01.13 07:47,23.01.13 07:50,teilgenommen und beendet,,5,nein,Keine Veränderung,Verkaufspreis etwas erhöhen; Genügend Aufträge zu erhalten,nein,,,Bau,9,1'800'000.--,Winterthur
4663152,75a1295,23.01.13 07:50,23.01.13 07:55,teilgenommen und beendet,,6,ja,Keine Veränderung,Nachfrage nach qualitativ hochwertigen Aufträgen innert nützlicher Fristen zu erledigen,nein,"Die Baulandverknappung und dadurch der Ruf nach verdichteten, energiebewusstem Bauen, generieren viele spannende Aufträge für die nächsten Jahre.",,Architektur- und Planungsbüro,5,,Zell ZH
4663158,1b41238,23.01.13 07:52,23.01.13 07:53,teilgenommen und beendet,,5,ja,Zunahme,,nein,,,Haustechnik,15,,Winterthur
4663193,9c712f5,23.01.13 08:02,23.01.13 08:08,teilgenommen und beendet,,5,nein,Keine Veränderung,arbeits beschaffung; gutes arbeitspersonal finden; Gute Lehrlinge finden,nein,der stadt drot ein verkehrskollaps ----- >winterthur umfahrung,,Bauspengler,3.5 und 2 Lehrlinge,'500.000,räterschen
4663194,48e429e,23.01.13 08:04,23.01.13 08:05,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,,nein,,,,,,
4663245,0af34ac,23.01.13 08:17,23.01.13 08:18,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Weinhandel,2,,Neftenbach
4663247,255d487,23.01.13 08:17,23.01.13 08:18,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,,,,
4663312,7a07c29,23.01.13 08:31,23.01.13 08:32,teilgenommen und beendet,,6,ja,Zunahme,,ja,,,Google Mitarbeiter,11,1 Mio,Winterthur
4663338,f16d0a9,23.01.13 08:33,23.01.13 08:35,teilgenommen und beendet,,3,nein,Keine Veränderung,,nein,,,Schmuck,5,,winterthur
4663401,9b21dd2,23.01.13 08:42,23.01.13 08:45,teilgenommen und beendet,,3,nein,Reduktion,Reorganisation und anpassen an die neuen Medien.,nein,,,"Werbemittel, Druck, Textil",5,500000,Elgg
4663424,3470bda,23.01.13 08:47,23.01.13 08:50,teilgenommen und beendet,,3,nein,Reduktion,Energiekosten,nein,,,Gärtnerei,20,,8426 Lufingen
4663433,222ddb8,23.01.13 08:48,23.01.13 08:50,teilgenommen und beendet,,4,ja,Zunahme,,nein,,,Personalverleih/-vermittlung,3,,Winterthur
